Wall time,Step,Value
1680447779.2882867,4,0.06521739065647125
1680447802.7730856,5,0.1304347813129425
1680447898.0607095,9,0.1304347813129425
1680447921.5013137,10,0.17391304671764374
1680447968.938535,12,0.1195652186870575
1680447992.6106148,13,0.16304348409175873
1680448016.200565,14,0.08695652335882187
1680448063.298329,16,0.21739129722118378
1680448086.8826823,17,0.1195652186870575
1680448110.5866046,18,0.15217390656471252
1680448134.1872423,19,0.15217390656471252
1680448229.2312586,23,0.25
1680448442.842024,32,0.31521740555763245
1680448466.4461904,33,0.3478260934352875
1680448513.4437668,35,0.31521740555763245
1680448583.8053606,38,0.25
1680448607.3062868,39,0.239130437374115
1680448654.962283,41,0.239130437374115
1680448702.0127878,43,0.32608696818351746
1680448725.4284449,44,0.29347825050354004
1680448772.8070028,46,0.20652173459529877
1680448819.9549103,48,0.3804347813129425
1680448843.4340293,49,0.29347825050354004
1680448913.7099695,52,0.260869562625885
1680448937.0215373,53,0.25
1680448960.7979968,54,0.33695653080940247
1680448984.4575481,55,0.3478260934352875
1680449007.9375916,56,0.3804347813129425
1680449078.8842,59,0.18478260934352875
1680449102.7910802,60,0.3478260934352875
1680449149.977174,62,0.3478260934352875
1680449197.3739562,64,0.41304346919059753
1680449221.210249,65,0.3478260934352875
1680449245.0917895,66,0.4021739065647125
1680449268.8043044,67,0.3586956560611725
1680449339.4911904,70,0.3586956560611725
1680449362.9775064,71,0.42391303181648254
1680449386.7191339,72,0.32608696818351746
1680449410.3677583,73,0.3913043439388275
1680449457.3841145,75,0.3695652186870575
1680449528.642848,78,0.33695653080940247
1680449646.7835627,83,0.43478259444236755
1680449670.5063312,84,0.41304346919059753
1680449693.987578,85,0.4021739065647125
1680449717.971809,86,0.47826087474823
1680449741.496356,87,0.3804347813129425
1680449765.1411738,88,0.47826087474823
1680449883.1953058,93,0.46739131212234497
1680450068.9639552,101,0.489130437374115
1680450140.136547,104,0.41304346919059753
1680450163.4658256,105,0.489130437374115
1680450327.2760754,112,0.52173912525177
1680450397.6988227,115,0.489130437374115
1680450445.7443047,117,0.41304346919059753
1680450469.177675,118,0.5
